"SN","V1","V2"
"485","540000","400000"
"486","520000","480000"
"487","480000","560000"
"488","460000","600000"
"489","440000","680000"
"490","420000","760000"
"491","380000","800000"
"492","380000","880000"
"493","360000","920000"
"494","340000","960000"
"495","320000","1000000"
"496","320000","1040000"
"497","320000","1040000"
"498","300000","1080000"
"499","300000","1080000"
"500","300000","1080000"
"501","300000","1080000"
"502","320000","1080000"
"503","320000","1080000"
"504","360000","1080000"
"505","380000","1040000"
"506","340000","1040000"
"507","-880000","1000000"
"508","-900000","960000"
"509","-880000","920000"
"510","-860000","840000"
"511","-820000","800000"
"512","-800000","760000"
"513","-780000","680000"
"514","-740000","640000"
"515","-720000","560000"
"516","-680000","480000"
"517","-640000","400000"
"518","-600000","320000"
"519","-580000","240000"
"520","-540000","160000"
"521","-500000","80000"
"522","-460000","0"
"523","-420000","-80000"
"524","-400000","-160000"
"525","-360000","-240000"
"526","-320000","-320000"
"527","-300000","-400000"
"528","-260000","-480000"
"529","-240000","-560000"
"530","-200000","-640000"
"531","-180000","-720000"
"532","-160000","-760000"
"533","-140000","-800000"
"534","-120000","-880000"
"535","-100000","-920000"
"536","-80000","-960000"
"537","-80000","-1000000"
"538","-60000","-1040000"
"539","-60000","-1080000"
"540","-60000","-1080000"
"541","-40000","-1120000"
"542","-40000","-1120000"
"543","-60000","-1120000"
"544","-60000","-1120000"
"545","-60000","-1120000"
"546","-100000","-1080000"
"547","-120000","-1080000"
"548","-140000","-1040000"
"549","1180000","-1000000"
"550","1140000","-960000"
"551","1140000","-920000"
"552","1120000","-880000"
"553","1080000","-840000"
"554","1060000","-800000"
"555","1040000","-720000"
"556","1000000","-640000"
"557","980000","-560000"
"558","960000","-520000"
"559","920000","-440000"
"560","880000","-360000"
"561","840000","-280000"
"562","800000","-200000"
"563","780000","-120000"
"564","740000","-40000"
"565","700000","40000"
"566","660000","120000"
"567","620000","200000"
"568","600000","320000"
"569","560000","400000"
"570","540000","440000"
"571","520000","520000"
"572","480000","600000"
"573","460000","680000"
"574","420000","720000"
"575","400000","800000"
"576","400000","840000"
"577","360000","920000"
"578","360000","960000"
"579","340000","1000000"
"580","340000","1000000"
"581","320000","1040000"
"582","320000","1080000"
"583","300000","1080000"
"584","320000","1120000"
"585","320000","1120000"
"586","320000","1080000"
"587","320000","1080000"
"588","360000","1080000"
"589","380000","1080000"
"590","400000","1040000"
"591","-800000","1000000"
"592","-900000","960000"
"593","-880000","920000"
"594","-860000","880000"
"595","-820000","840000"
"596","-800000","760000"
"597","-780000","720000"
"598","-760000","640000"
"599","-720000","600000"
"600","-700000","520000"
"601","-660000","440000"
"602","-620000","360000"
"603","-580000","280000"
"604","-540000","200000"
"605","-500000","120000"
"606","-460000","40000"
"607","-440000","-80000"
"608","-400000","-120000"
"609","-360000","-200000"
"610","-340000","-280000"
"611","-300000","-360000"
"612","-260000","-440000"
"613","-240000","-520000"
"614","-220000","-600000"
"615","-180000","-680000"
"616","-160000","-760000"
"617","-140000","-800000"
"618","-120000","-880000"
"619","-100000","-920000"
"620","-80000","-960000"
"621","-80000","-1000000"
"622","-60000","-1040000"
"623","-60000","-1040000"
"624","-60000","-1080000"
"625","-40000","-1080000"
"626","-40000","-1120000"
"627","-40000","-1120000"
"628","-60000","-1120000"
"629","-40000","-1120000"
"630","-60000","-1080000"
"631","-100000","-1080000"
"632","-120000","-1040000"
"633","880000","-1040000"
"634","1160000","-1000000"
"635","1140000","-960000"
"636","1140000","-920000"
"637","1120000","-840000"
"638","1080000","-800000"
"639","1060000","-760000"
"640","1020000","-680000"
"641","1000000","-600000"
"642","960000","-520000"
"643","940000","-480000"
"644","900000","-360000"
"645","860000","-320000"
"646","820000","-240000"
"647","780000","-120000"
"648","760000","-40000"
"649","720000","0"
"650","680000","80000"
"651","640000","200000"
"652","600000","280000"
"653","580000","360000"
"654","540000","440000"
"655","520000","520000"
"656","500000","560000"
"657","460000","640000"
"658","440000","720000"
"659","420000","760000"
"660","400000","840000"
"661","380000","880000"
"662","360000","920000"
"663","340000","960000"
"664","340000","1000000"
"665","320000","1040000"
"666","320000","1080000"
"667","320000","1080000"
"668","300000","1120000"
"669","320000","1120000"
"670","320000","1080000"
"671","320000","1080000"
"672","340000","1080000"
"673","360000","1080000"
"674","400000","1040000"
"675","20000","1040000"
"676","-920000","1000000"
"677","-880000","960000"
"678","-860000","920000"
"679","-840000","880000"
"680","-820000","800000"
"681","-800000","720000"
"682","-760000","680000"
"683","-740000","640000"
"684","-700000","560000"
"685","-660000","480000"
"686","-620000","400000"
"687","-580000","320000"
"688","-560000","240000"
"689","-520000","160000"
"690","-480000","40000"
"691","-440000","0"
"692","-420000","-80000"
"693","-380000","-160000"
"694","-340000","-280000"
"695","-320000","-320000"
"696","-280000","-400000"
"697","-260000","-480000"
"698","-220000","-600000"
"699","-200000","-640000"
"700","-180000","-720000"
"701","-160000","-760000"
"702","-140000","-840000"
"703","-120000","-880000"
"704","-100000","-920000"
"705","-80000","-960000"
"706","-80000","-1040000"
"707","-60000","-1040000"
"708","-60000","-1080000"
"709","-60000","-1080000"
"710","-40000","-1120000"
"711","-60000","-1120000"
"712","-40000","-1120000"
"713","-60000","-1120000"
"714","-60000","-1120000"
"715","-120000","-1080000"
"716","-120000","-1080000"
"717","-80000","-1040000"
"718","1140000","-1000000"
"719","1140000","-960000"
"720","1140000","-920000"
"721","1120000","-880000"
"722","1080000","-840000"
"723","1060000","-760000"
"724","1020000","-720000"
"725","1000000","-640000"
"726","980000","-560000"
"727","940000","-480000"
"728","900000","-400000"
"729","880000","-360000"
"730","820000","-280000"
"731","800000","-160000"
"732","760000","-120000"
"733","720000","-40000"
"734","680000","40000"
"735","640000","120000"
"736","620000","240000"
"737","580000","320000"
"738","560000","400000"
"739","520000","480000"
"740","500000","520000"
"741","480000","600000"
"742","440000","680000"
"743","420000","720000"
"744","400000","800000"
"745","380000","840000"
"746","360000","880000"
"747","340000","960000"
"748","340000","1000000"
"749","320000","1040000"
"750","320000","1040000"
"751","320000","1080000"
"752","300000","1080000"
"753","320000","1080000"
"754","320000","1120000"
"755","320000","1080000"
"756","320000","1080000"
"757","360000","1080000"
"758","380000","1040000"
"759","400000","1000000"
"760","-920000","960000"
